
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 
 0 	 3.672230 	 0.000000 
 1 	 3.643718 	 0.000000 
 2 	 3.616817 	 0.000000 
 3 	 3.593176 	 0.000000 
 4 	 3.573148 	 0.000000 
 5 	 3.556297 	 0.000000 
 6 	 3.542281 	 0.000000 
 7 	 3.530890 	 0.000000 
 8 	 3.521719 	 0.000000 
 9 	 3.514328 	 0.000000 
 10 	 3.508372 	 0.000000 
 11 	 3.503613 	 0.000000 
 12 	 3.500000 	 0.000000 
 13 	 3.499241 	 0.026164 
 14 	 3.497166 	 0.052256 
 15 	 3.493782 	 0.078211 
 16 	 3.489023 	 0.103949 
 17 	 3.482944 	 0.129408 
 18 	 3.475528 	 0.154510 
 19 	 3.466742 	 0.179166 
 20 	 3.456711 	 0.203343 
 21 	 3.445468 	 0.226980 
 22 	 3.432981 	 0.249983 
 23 	 3.419323 	 0.272312 
 24 	 3.404510 	 0.293891 
 25 	 3.388535 	 0.314626 
 26 	 3.371524 	 0.334520 
 27 	 3.353528 	 0.353526 
 28 	 3.334543 	 0.371544 
 29 	 3.314653 	 0.388560 
 30 	 3.293896 	 0.404506 
 31 	 3.272296 	 0.419289 
 32 	 3.249971 	 0.432953 
 33 	 3.226982 	 0.445467 
 34 	 3.203357 	 0.456737 
 35 	 3.179184 	 0.466774 
 36 	 3.154516 	 0.475526 
 37 	 3.129405 	 0.482911 
 38 	 3.103950 	 0.489008 
 39 	 3.078219 	 0.493806 
 40 	 3.052268 	 0.497225 
 41 	 3.026176 	 0.499301 
 42 	 3.000011 	 0.500000 
 43 	 2.973847 	 0.499263 
 44 	 2.947754 	 0.497195 
 45 	 2.921799 	 0.493806 
 46 	 2.896063 	 0.489039 
 47 	 2.870606 	 0.482951 
 48 	 2.845505 	 0.475532 
 49 	 2.820848 	 0.466749 
 50 	 2.796670 	 0.456721 
 51 	 2.773033 	 0.445479 
 52 	 2.750029 	 0.432992 
 53 	 2.727700 	 0.419334 
 54 	 2.706121 	 0.404519 
 55 	 2.685389 	 0.388542 
 56 	 2.665496 	 0.371530 
 57 	 2.646491 	 0.353532 
 58 	 2.628472 	 0.334548 
 59 	 2.611453 	 0.314661 
 60 	 2.595503 	 0.293908 
 61 	 2.580713 	 0.272312 
 62 	 2.567043 	 0.249991 
 63 	 2.554524 	 0.227004 
 64 	 2.543253 	 0.203380 
 65 	 2.533220 	 0.179205 
 66 	 2.524480 	 0.154533 
 67 	 2.517128 	 0.129412 
 68 	 2.511085 	 0.103944 
 69 	 2.506338 	 0.078204 
 70 	 2.502939 	 0.052251 
 71 	 2.500824 	 0.026162 
 72 	 2.327770 	 0.000000 
 73 	 2.356282 	 0.000000 
 74 	 2.383183 	 0.000000 
 75 	 2.406824 	 0.000000 
 76 	 2.426851 	 0.000000 
 77 	 2.443703 	 0.000000 
 78 	 2.457719 	 0.000000 
 79 	 2.469110 	 0.000000 
 80 	 2.478281 	 0.000000 
 81 	 2.485672 	 0.000000 
 82 	 2.491628 	 0.000000 
 83 	 2.496388 	 0.000000 
 84 	 2.500000 	 0.000000 
