
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 	 Node.z 
 0 	 2.552647 	 21.168482 	 3.810000 
 1 	 20.901641 	 2.751760 	 10.160000 
 2 	 0.000000 	 21.082000 	 7.620000 
 3 	 0.911659 	 7.560173 	 25.400001 
 4 	 0.303947 	 2.520996 	 25.400001 
 5 	 0.303886 	 2.520058 	 10.160000 
 6 	 3.343412 	 27.730939 	 25.400001 
 7 	 0.000000 	 21.335998 	 0.000000 
 8 	 3.343412 	 27.730939 	 3.810000 
 9 	 0.000000 	 27.939999 	 3.810000 
 10 	 -2.502309 	 27.824754 	 3.810000 
 11 	 -4.984801 	 27.490002 	 3.810000 
 12 	 -7.427394 	 26.934513 	 3.810000 
 13 	 -9.809338 	 26.159158 	 3.810000 
 14 	 -12.113176 	 25.175717 	 3.810000 
 15 	 -14.320129 	 23.990729 	 3.810000 
 16 	 -16.410340 	 22.610208 	 3.810000 
 17 	 -18.369569 	 21.049359 	 3.810000 
 18 	 -20.182240 	 19.320472 	 3.810000 
 19 	 -21.830578 	 17.434257 	 3.810000 
 20 	 -23.304000 	 15.408459 	 3.810000 
 21 	 -24.591863 	 13.259915 	 3.810000 
 22 	 -25.680020 	 11.003651 	 3.810000 
 23 	 -26.561472 	 8.658896 	 3.810000 
 24 	 -27.231702 	 6.245263 	 3.810000 
 25 	 -27.681625 	 3.781039 	 3.810000 
 26 	 -27.907637 	 1.286294 	 3.810000 
 27 	 -27.911857 	 -1.218661 	 3.810000 
 28 	 -27.691236 	 -3.713889 	 3.810000 
 29 	 -27.245659 	 -6.178903 	 3.810000 
 30 	 -26.583475 	 -8.594753 	 3.810000 
 31 	 -25.708014 	 -10.941751 	 3.810000 
 32 	 -24.623163 	 -13.199611 	 3.810000 
 33 	 -23.342231 	 -15.352294 	 3.810000 
 34 	 -21.874644 	 -17.382322 	 3.810000 
 35 	 -20.228809 	 -19.270723 	 3.810000 
 36 	 -18.421406 	 -21.005115 	 3.810000 
 37 	 -16.466890 	 -22.571868 	 3.810000 
 38 	 -14.378341 	 -23.954900 	 3.810000 
 39 	 -12.174561 	 -25.145772 	 3.810000 
 40 	 -9.873861 	 -26.136535 	 3.810000 
 41 	 -7.493007 	 -26.915234 	 3.810000 
 42 	 -5.051844 	 -27.476969 	 3.810000 
 43 	 -2.570523 	 -27.820301 	 3.810000 
 44 	 -0.068369 	 -27.938861 	 3.810000 
 45 	 2.434273 	 -27.831089 	 3.810000 
 46 	 4.917542 	 -27.502152 	 3.810000 
 47 	 7.361324 	 -26.951924 	 3.810000 
 48 	 9.745180 	 -26.182470 	 3.810000 
 49 	 12.051489 	 -25.204840 	 3.810000 
 50 	 14.261340 	 -24.025263 	 3.810000 
 51 	 16.355009 	 -22.649989 	 3.810000 
 52 	 18.318231 	 -21.094166 	 3.810000 
 53 	 20.135106 	 -19.369699 	 3.810000 
 54 	 21.787846 	 -17.487338 	 3.810000 
 55 	 23.266259 	 -15.465184 	 3.810000 
 56 	 24.559508 	 -13.319874 	 3.810000 
 57 	 25.653479 	 -11.066423 	 3.810000 
 58 	 26.541281 	 -8.724064 	 3.810000 
 59 	 27.217543 	 -6.312115 	 3.810000 
 60 	 27.672467 	 -3.848811 	 3.810000 
 61 	 27.901143 	 -1.354310 	 3.810000 
 62 	 27.909431 	 1.150638 	 3.810000 
 63 	 27.700970 	 3.646909 	 3.810000 
 64 	 27.047160 	 6.932429 	 3.810000 
 65 	 26.026046 	 10.122954 	 3.810000 
 66 	 24.639881 	 13.172650 	 3.810000 
 67 	 22.885086 	 16.026211 	 3.810000 
 68 	 20.799886 	 18.648051 	 3.810000 
 69 	 18.421380 	 21.007042 	 3.810000 
 70 	 15.772501 	 23.057781 	 3.810000 
 71 	 12.897727 	 24.777599 	 3.810000 
 72 	 9.841514 	 26.149341 	 3.810000 
 73 	 6.640004 	 27.135471 	 3.810000 
 74 	 2.552647 	 21.168482 	 0.000000 
 75 	 5.069980 	 20.713408 	 0.000000 
 76 	 7.517081 	 19.967917 	 0.000000 
 77 	 9.852432 	 18.923782 	 0.000000 
 78 	 12.045277 	 17.606401 	 0.000000 
 79 	 14.068353 	 16.040762 	 0.000000 
 80 	 15.885003 	 14.239691 	 0.000000 
 81 	 17.473622 	 12.234610 	 0.000000 
 82 	 18.816802 	 10.057473 	 0.000000 
 83 	 19.882514 	 7.731891 	 0.000000 
 84 	 20.661931 	 5.295384 	 0.000000 
 85 	 21.153466 	 2.784915 	 0.000000 
 86 	 21.314040 	 0.930618 	 0.000000 
 87 	 21.314035 	 -0.930618 	 0.000000 
 88 	 21.153466 	 -2.784915 	 0.000000 
 89 	 20.813364 	 -4.673818 	 0.000000 
 90 	 20.310912 	 -6.526162 	 0.000000 
 91 	 19.643556 	 -8.325680 	 0.000000 
 92 	 18.815665 	 -10.057221 	 0.000000 
 93 	 17.834008 	 -11.706456 	 0.000000 
 94 	 16.711760 	 -13.263439 	 0.000000 
 95 	 15.451962 	 -14.711383 	 0.000000 
 96 	 14.066650 	 -16.039741 	 0.000000 
 97 	 12.567730 	 -17.238437 	 0.000000 
 98 	 10.969145 	 -18.300588 	 0.000000 
 99 	 9.279222 	 -19.210419 	 0.000000 
 100 	 7.515129 	 -19.966468 	 0.000000 
 101 	 5.690364 	 -20.561337 	 0.000000 
 102 	 3.819944 	 -20.991643 	 0.000000 
 103 	 1.917705 	 -21.246816 	 0.000000 
 104 	 0.000414 	 -21.334170 	 0.000000 
 105 	 -1.916958 	 -21.248648 	 0.000000 
 106 	 -3.818849 	 -20.990892 	 0.000000 
 107 	 -5.689226 	 -20.560397 	 0.000000 
 108 	 -7.514770 	 -19.967926 	 0.000000 
 109 	 -9.278927 	 -19.212025 	 0.000000 
 110 	 -10.967344 	 -18.299399 	 0.000000 
 111 	 -12.566690 	 -17.238404 	 0.000000 
 112 	 -14.066947 	 -16.041380 	 0.000000 
 113 	 -15.451041 	 -14.711748 	 0.000000 
 114 	 -16.710518 	 -13.263524 	 0.000000 
 115 	 -17.834912 	 -11.708095 	 0.000000 
 116 	 -18.816920 	 -10.059065 	 0.000000 
 117 	 -19.640435 	 -8.325439 	 0.000000 
 118 	 -20.305558 	 -6.525095 	 0.000000 
 119 	 -20.809074 	 -4.673041 	 0.000000 
 120 	 -21.153466 	 -2.784912 	 0.000000 
 121 	 -21.315649 	 -0.930664 	 0.000000 
 122 	 -21.315651 	 0.930664 	 0.000000 
 123 	 -21.153466 	 2.784915 	 0.000000 
 124 	 -20.812950 	 4.673628 	 0.000000 
 125 	 -20.309198 	 6.525501 	 0.000000 
 126 	 -19.643918 	 8.325668 	 0.000000 
 127 	 -18.816811 	 10.057455 	 0.000000 
 128 	 -17.834036 	 11.705895 	 0.000000 
 129 	 -16.709824 	 13.261320 	 0.000000 
 130 	 -15.452375 	 14.711154 	 0.000000 
 131 	 -14.068386 	 16.040730 	 0.000000 
 132 	 -12.568676 	 17.238253 	 0.000000 
 133 	 -10.969030 	 18.298602 	 0.000000 
 134 	 -9.281416 	 19.212465 	 0.000000 
 135 	 -7.517175 	 19.967882 	 0.000000 
 136 	 -5.690164 	 20.555446 	 0.000000 
 137 	 -3.818133 	 20.978162 	 0.000000 
 138 	 -1.916676 	 21.238290 	 0.000000 
 139 	 0.000000 	 27.939999 	 25.400001 
 140 	 -2.502309 	 27.824754 	 25.400001 
 141 	 -4.984801 	 27.490002 	 25.400001 
 142 	 -7.427394 	 26.934513 	 25.400001 
 143 	 -9.809338 	 26.159158 	 25.400001 
 144 	 -12.113176 	 25.175717 	 25.400001 
 145 	 -14.320129 	 23.990729 	 25.400001 
 146 	 -16.410340 	 22.610208 	 25.400001 
 147 	 -18.369569 	 21.049359 	 25.400001 
 148 	 -20.182240 	 19.320472 	 25.400001 
 149 	 -21.830578 	 17.434257 	 25.400001 
 150 	 -23.304000 	 15.408458 	 25.400001 
 151 	 -24.591863 	 13.259915 	 25.400001 
 152 	 -25.680020 	 11.003651 	 25.400001 
 153 	 -26.561472 	 8.658896 	 25.400001 
 154 	 -27.231702 	 6.245263 	 25.400001 
 155 	 -27.681625 	 3.781039 	 25.400001 
 156 	 -27.907637 	 1.286297 	 25.400001 
 157 	 -27.911857 	 -1.218661 	 25.400001 
 158 	 -27.691236 	 -3.713886 	 25.400001 
 159 	 -27.245659 	 -6.178900 	 25.400001 
 160 	 -26.583475 	 -8.594753 	 25.400001 
 161 	 -25.708014 	 -10.941751 	 25.400001 
 162 	 -24.623163 	 -13.199607 	 25.400001 
 163 	 -23.342231 	 -15.352294 	 25.400001 
 164 	 -21.874645 	 -17.382319 	 25.400001 
 165 	 -20.228809 	 -19.270723 	 25.400001 
 166 	 -18.421406 	 -21.005113 	 25.400001 
 167 	 -16.466893 	 -22.571866 	 25.400001 
 168 	 -14.378341 	 -23.954900 	 25.400001 
 169 	 -12.174561 	 -25.145772 	 25.400001 
 170 	 -9.873861 	 -26.136535 	 25.400001 
 171 	 -7.493007 	 -26.915231 	 25.400001 
 172 	 -5.051844 	 -27.476969 	 25.400001 
 173 	 -2.570523 	 -27.820298 	 25.400001 
 174 	 -0.068372 	 -27.938861 	 25.400001 
 175 	 2.434270 	 -27.831089 	 25.400001 
 176 	 4.917542 	 -27.502152 	 25.400001 
 177 	 7.361324 	 -26.951924 	 25.400001 
 178 	 9.745180 	 -26.182470 	 25.400001 
 179 	 12.051489 	 -25.204840 	 25.400001 
 180 	 14.261338 	 -24.025263 	 25.400001 
 181 	 16.355006 	 -22.649989 	 25.400001 
 182 	 18.318228 	 -21.094166 	 25.400001 
 183 	 20.135106 	 -19.369699 	 25.400001 
 184 	 21.787843 	 -17.487338 	 25.400001 
 185 	 23.266259 	 -15.465184 	 25.400001 
 186 	 24.559505 	 -13.319877 	 25.400001 
 187 	 25.653479 	 -11.066423 	 25.400001 
 188 	 26.541281 	 -8.724064 	 25.400001 
 189 	 27.217540 	 -6.312115 	 25.400001 
 190 	 27.672467 	 -3.848811 	 25.400001 
 191 	 27.901143 	 -1.354310 	 25.400001 
 192 	 27.909428 	 1.150638 	 25.400001 
 193 	 27.700970 	 3.646909 	 25.400001 
 194 	 27.047160 	 6.932429 	 25.400001 
 195 	 26.026043 	 10.122954 	 25.400001 
